days, mement, link
1922 , 5 ,"http://radar.oreilly.com/2014/01/lessons-learned-from-my-time-at-the-cfpb.html"
31 , 61 ,"http://www.pewinternet.org/2014/08/26/social-media-and-the-spiral-of-silence/"
883 , 3 ,"http://solidcon.com/solid2014/public/schedule/full/public"
234 , 3 ,"http://www.fiercehealthit.com/story/hhs-rule-change-improves-patient-access-lab-results/2014-02-03"
93 , 3 ,"http://venturebeat.com/2014/06/24/tim-oreilly-wants-tech-heroes-to-change-government-interview/view-all/"
1794 , 15 ,"https://www.mongodb.com/mongodb-world-splash"
20 , 12 ,"http://www.forbes.com/sites/adamhartung/2014/09/05/obama-outperforms-reagan-on-jobs-growth-and-investing/"
169 , 4 ,"http://mattstoller.tumblr.com/post/82233202309/ubers-algorithmic-monopoly-we-are-not-setting-the#notes"
3374 , 14 ,"http://boingboing.net/2014/06/29/internets-own-boy-free-cc-l.html"
507 , 41 ,"http://www.brck.com/"
6 , 4 ,"http://trendsmap.com/v2/Lf62/w"
276 , 11 ,"http://www.dailymail.co.uk/news/article-2592725/Memorising-Bible-drinking-50-cups-coffee-day-From-Darwin-Dickens-historys-biggest-thinkers-spent-days.html"
153 , 18 ,"https://www.kickstarter.com/projects/227461008/gi-bike-the-light-full-size-electric-folding-bike"
920 , 4 ,"http://content.stamen.com/surging-seas-ca"
199 , 5 ,"http://beta.slashdot.org/story/206085"
1942 , 9 ,"http://www.thenation.com/article/181337/anatomy-fergusons-police-riot"
338 , 19 ,"http://www.forbes.com/sites/parmyolson/2013/10/22/how-chinas-xiaomi-does-in-a-week-what-apple-does-in-a-year-update-devices/"
10 , 8 ,"http://www.theguardian.com/politics/2014/sep/15/bob-geldof-scottish-voters-not-break-up-family"
877 , 3 ,"http://boingboing.net/2014/08/25/usb-condom-charge-your-device.html"
145 , 6 ,"http://www.oscon.com/oscon2014/public/schedule/detail/35847?cmp=tw-prog-confreg-info-os14_tweet_general"
20 , 6 ,"http://pando.com/2014/09/08/breaking-new-wage-theft-lawsuit-filed-against-hollywood-giants-as-techtopus-scandal-grows/"
555 , 3 ,"http://radar.oreilly.com/2014/02/i-cyborg.html"
260 , 12 ,"http://velocityconf.com/velocity2014"
555 , 8 ,"http://radar.oreilly.com/2013/11/software-hardware-everywhere.html"
118 , 3 ,"http://www.computing.co.uk/ctg/news/2347412/estonian-plan-for-data-embassies-overseas-to-back-up-government-databases"
156 , 4 ,"http://tech.co/tim-oreilly-ama-2-2014-04#.U1evLU_4-wk.twitter"
3435 , 3 ,"http://nextcity.org/daily/entry/project-for-lean-urbanism-congress-for-the-new-urbanism-andres-duany"
1218 , 23 ,"http://pressurenet.io/"
2566 , 17 ,"http://regressing.deadspin.com/everything-you-know-about-cramps-is-wrong-and-gatorade-1587102837"
227 , 7 ,"http://mattvukas.com/2014/02/10/comcast-definitely-throttling-netflix-infuriating/"
489 , 38 ,"http://www.npr.org/blogs/money/2014/08/27/343415569/whos-in-the-office-the-american-workday-in-one-graph"
3668 , 39 ,"http://www.oreillynet.com/pub/a/oreilly/tim/articles/favebooks_0705.html"
147 , 3 ,"http://radar.oreilly.com/2014/05/who-holds-your-keys.html"
773 , 328 ,"http://online.wsj.com/news/articles/SB10001424052702304360704579419150649284412"
456 , 5 ,"https://www.planet.com/gallery/"
58 , 13 ,"http://motherboard.vice.com/read/if-we-release-a-small-fraction-of-arctic-carbon-were-fucked-climatologist"
360 , 3 ,"http://www.technologyreview.com/news/527836/thermal-camera-turns-many-things-into-interactive-surfaces/"
2187 , 3 ,"http://truth-out.org/news/item/22315-discipline-with-dignity-oakland-classrooms-try-healing-instead-of-punishment"
250 , 7 ,"http://strataconf.com/strata2014/public/content/video"
673 , 16 ,"http://www.streetcredsoftware.com/"
587 , 37 ,"http://www.entrepreneur.com/article/233214"
4500 , 19 ,"http://www.fastcompany.com/44917/he-struck-gold-net-really"
1769 , 7 ,"http://blogmaverick.com/2014/04/03/the-idiots-guide-to-high-frequency-trading/"
930 , 65 ,"https://www.learnsprout.com/"
63 , 35 ,"https://medium.com/message/what-is-public-f33b16d780f9"
134 , 5 ,"http://www.newyorker.com/currency-tag/why-jill-abramson-was-fired"
4614 , 4 ,"http://www.amazon.com/Lincoln-Gettysburg-America-Schuster-Library-ebook/dp/B00AK78PH8/"
286 , 9 ,"http://www.health2con.com/hxr/"
56 , 41 ,"http://aco.nato.int/new-satellite-imagery-exposes-russian-combat-troops-inside-ukraine.aspx"
202 , 3 ,"http://radar.oreilly.com/2014/03/wearables-and-the-immediacy-of-communication.html#more-59288"
2284 , 6 ,"https://www.youtube.com/watch?v=ZFTUPoeup4M"
466 , 14 ,"http://venturebeat.com/2014/01/28/can-tech-innovation-curb-gun-violence-smart-tech-posing-4-million-dollar-challenges-to-find-out/"
2069 , 3 ,"http://www.theguardian.com/society/2014/feb/21/nhs-plan-share-medical-data-save-lives?CMP=twt_fd"
1225 , 83 ,"http://indiewebcamp.com/"
1321 , 3 ,"http://www.techrepublic.com/article/how-open-climate-data-can-improve-community-resilience-against-climate-change/"
128 , 3 ,"http://www.washingtonpost.com/blogs/the-switch/wp/2014/09/15/a-23-million-venture-fund-for-the-government-tech-set/"
90 , 24 ,"https://archive.org/details/TheInternetsOwnBoyTheStoryOfAaronSwartz"
205 , 3 ,"http://radar.oreilly.com/2014/03/reflections-on-eric-raymonds-myth-of-the-fall.html"
229 , 13 ,"http://velocityconf.com/velocityny2014"
215 , 27 ,"http://makezine.com/2014/02/22/hangout-with-tim-oreilly-and-kevin-kelly-talking-about-makers-and-cool-tools/"
144 , 7 ,"http://www.theguardian.com/science/neurophilosophy/2014/may/04/retina-motion-detection-crowdsourced"
199 , 3 ,"https://sciencehack.synbiota.com/"
240 , 6 ,"http://www.theatlantic.com/technology/archive/2014/01/the-illusion-that-makes-it-sound-like-a-pitch-is-constantly-rising/283417/"
5729 , 901 ,"https://www.edx.org/"
15 , 27 ,"http://www.theguardian.com/membership/2014/sep/10/-sp-guardian-editor-alan-rusbridger-welcome-to-guardian-membership"
1695 , 10 ,"http://www.citylab.com/commute/2014/07/how-parking-spaces-are-eating-our-cities-alive/374413/"
367 , 31 ,"http://makernurse.org/"
222 , 6 ,"http://pando.com/2014/04/09/will-the-decline-of-the-mobile-web-hurt-innovation/"
259 , 11 ,"http://www.huffingtonpost.com/2014/01/09/trans-pacific-partnership-obama-boehner_n_4570837.html"
261 , 12 ,"http://www.shirky.com/weblog/2014/01/there-isnt-enough-money-to-keep-educating-adults-the-way-were-doing-it/"
119 , 6 ,"http://nymag.com/daily/intelligencer/2014/06/obama-has-now-fulfilled-his-4-big-promises.html"
400 , 21 ,"http://www.simonsfoundation.org/quanta/20140122-a-new-physics-theory-of-life/"
195 , 3 ,"http://www.badvoltage.org/2014/03/13/1x11/"
37 , 13 ,"http://www.washingtonpost.com/posteverything/wp/2014/08/19/im-a-cop-if-you-dont-want-to-get-hurt-dont-challenge-me/"
523 , 25 ,"http://gizmodo.com/quirkys-new-a-c-unit-smartens-up-your-dumbest-energy-h-1546937658"
713 , 6 ,"http://www.thewire.com/national/2012/10/chart-says-war-drugs-isnt-working/57913/"
208 , 5 ,"http://radar.oreilly.com/2014/04/ioth-the-internet-of-things-and-humans.html"
99 , 9 ,"http://www.theatlantic.com/politics/archive/2014/06/campaign-finance-reform-has-to-be-cross-partisan/372983/"
164 , 51 ,"http://www.bbc.com/news/magazine-26969150"
147 , 12 ,"http://www.hollywoodreporter.com/news/fault-stars-author-john-green-699388"
2074 , 7 ,"http://www.politifact.com/truth-o-meter/statements/2014/mar/27/alison-lundergan-grimes/does-mitch-mcconnell-receive-more-money-lobbyists-/"
105 , 8 ,"http://www.gatesnotes.com/Books/Making-the-Modern-World?WT.mc_id=06_13_2014_smilc_tw&WT.tsrc=Twitter"
929 , 39 ,"http://www.macrumors.com/2014/01/30/apple-iwatch-masimo/"
4669 , 89 ,"http://wordspy.com/words/anecdata.asp"
2400 , 13 ,"http://online.wsj.com/news/articles/SB120425355065601997"
115 , 3 ,"http://amandapalmer.net/blog/20140602/"
24 , 4 ,"http://www.zephoria.org/thoughts/archives/2014/09/01/what-is-privacy.html"
1677 , 3 ,"http://www.washingtonpost.com/blogs/the-switch/wp/2014/08/25/how-the-u-s-digital-service-could-upset-d-c-s-it-vendor-ecosystem/"
557 , 4 ,"http://womanstats.org/substatics/Governmental%20Participation%20by%20Women_2010tif_wmlogo3.png"
135 , 39 ,"http://www.bbc.co.uk/news/world-europe-27388289"
97 , 3 ,"http://diydrones.com/profiles/blogs/dronecon-recap-vid-daniel-mckinnon-what-do-farmers-really-want"
2624 , 13 ,"http://qz.com/223742/there-is-a-secret-ingredient-in-your-burgers-wood-pulp/"
2171 , 68 ,"http://www.cnu.org/liveworkwalk"
257 , 3 ,"http://www.youtube.com/playlist?list=PL055Epbe6d5YX_cD2IDr4dK9Da0Vh6YgI"
1473 , 3 ,"http://awards.designforexperience.com/gallery/2013/public-sector-experience/joel-mahoney-objective-subject"
1413 , 117 ,"http://velocityconf.com/"
236 , 8 ,"http://www.telegraph.co.uk/culture/film/10816014/Hayao-Miyazaki-interview-I-think-the-peaceful-time-that-we-are-living-in-is-coming-to-an-end.html"
236 , 4 ,"http://www.forbes.com/sites/sarahmckinney/2014/02/01/the-future-of-political-engagement-is-here-and-its-called-popvox/"
147 , 7 ,"http://robotenomics.com/2014/05/01/reigniting-the-economy-with-computational-thinking/"
241 , 111 ,"http://www.thedailybeast.com/articles/2014/01/27/the-woody-allen-allegations-not-so-fast.html"
759 , 3 ,"http://radar.oreilly.com/2014/04/leading-by-example-two-stories.html"
159 , 3 ,"http://www.newappsblog.com/2014/04/more-on-the-fermi-paradox-from-david-wallace.html"
4984 , 192 ,"http://www.poemhunter.com/wallace-stevens/"
90 , 12 ,"https://www.aclu.org/blog/national-security-technology-and-liberty/beware-dangers-congress-latest-cybersecurity-bill"
4377 , 7 ,"https://www.safaribooksonline.com/explore/a/"
217 , 15 ,"http://www.businessweek.com/articles/2014-02-20/uber-leads-taxi-industry-disruption-amid-fight-for-riders-drivers"
1344 , 18 ,"http://www.wired.com/2014/06/pch-the-company-quietly-powering-a-boom-in-hardware-startups/"
205 , 47 ,"http://www.slate.com/blogs/xx_factor/2014/03/04/the_dating_ring_a_service_to_fly_nyc_s_single_women_to_male_dominated_san.html"
1918 , 108 ,"http://www.web2summit.com/web2009/public/schedule/detail/10194"
1865 , 5 ,"http://radar.oreilly.com/2014/01/the-new-bot-on-the-block.html"
1246 , 3 ,"https://www.uschamber.com/event/startup-government-conference"
484 , 5 ,"http://www.socialprogressimperative.org/blog/posts/how-do-the-social-progress-index-and-the-legatum-prosperity-index-compare"
5 , 5 ,"http://grist.org/climate-energy/naomi-klein-is-right-unchecked-capitalism-will-destroy-civilization/"
678 , 3 ,"http://shop.oreilly.com/product/0636920032113.do"
211 , 6 ,"http://www.huffingtonpost.com/vala-afshar/fcc-cio-5-ways-to-create_b_4860704.html"
601 , 4 ,"https://diy.org/skills/minecrafter"
808 , 8 ,"http://www.sfgate.com/education/article/Revamped-computer-science-classes-attracting-more-5243026.php#src=fb"
1667 , 3 ,"http://www.cedmagazine.com/news/2014/08/fcc-names-network-neutrality-expert-as-cto"
743 , 4 ,"http://crookedtimber.org/2014/05/27/political-economy-is-political/"
241 , 8 ,"https://www.techdirt.com/articles/20140124/12433225982/doj-says-company-that-vetted-snowden-faked-665000-background-checks.shtml"
153 , 6 ,"http://www.businessinsider.com/heres-the-real-reason-governments-are-cracking-down-on-uber-and-airbnb-2014-4"
4271 , 8 ,"http://www.techrepublic.com/article/googles-master-plan-for-android/"
167 , 18 ,"http://nymag.com/daily/intelligencer/2014/04/problem-with-profitless-start-ups.html"
185 , 4 ,"http://www.whitehouse.gov/blog/2014/03/24/geeksgetcovered-maker-s-story"
42 , 5 ,"http://www.washingtonpost.com/opinions/ferguson-wasnt-black-rage-against-copsit-was-white-rage-against-progress/2014/08/29/3055e3f4-2d75-11e4-bb9b-997ae96fad33_story.html"
